,name,price_in_NGN,country,mileage_in_km
124,Lexus RX 350 AWD 2009 Silver,"5,287,500",Nigerian Used,304110
125,Lexus ES 2008 Silver,"4,888,000",Foreign Used,110708
126,Lexus GX 470 Sport Utility 2006 Black,"5,062,500",Nigerian Used,7269
127,Lexus GS 300 AWD 2006 Green,"3,375,000",Nigerian Used,293007
128,Lexus IS 250 2010 Silver,"4,500,000",Foreign Used,156299
129,Lexus RX 330 2004 Gray,"2,925,000",Nigerian Used,127193
130,Lexus ES 2003 Silver,"1,800,000",Nigerian Used,235053
131,Lexus RX 300 2000 Black,"2,070,000",Nigerian Used,396340
132,Lexus ES 2011 Black,"5,145,000",Foreign Used,131441
133,Lexus RX 2005 Silver,"3,375,000",Nigerian Used,124379
134,Lexus ES 2004 Silver,"2,600,000",Nigerian Used,228349
135,Lexus RX 330 2004 Silver,"4,500,000",Nigerian Used,147798
136,Lexus IS 2010 Blue,"4,500,000",Foreign Used,137041
137,Lexus ES 350 2007 Black,"4,725,000",Foreign Used,270811
138,Lexus RX 350 2011 Red,"8,212,500",Nigerian Used,184048
139,Lexus ES 350 2007 Blue,"3,600,000",Nigerian Used,164611
140,Lexus RX 330 2005 Blue,"4,725,000",Nigerian Used,120974
141,Lexus RX 400h 2006 Silver,"5,062,500",Foreign Used,290168
142,Lexus IS 350 2008 Silver,"5,625,000",Foreign Used,92386
143,Lexus IS 2007 Black,"4,500,000",Foreign Used,181561
144,Lexus GX 470 Sport Utility 2006 Black,"5,062,500",Nigerian Used,65202
145,Lexus RX 2007 Gray,"5,287,500",Nigerian Used,109813
146,Lexus IS 2008 Gray,"3,656,250",Nigerian Used,154400
147,Lexus ES 350 2007 Black,"3,150,000",Nigerian Used,140981
148,Lexus RX 330 2004 Gray,"3,150,000",Nigerian Used,254872
149,Lexus IS 250 4WD 2009 Red,"4,160,000",Nigerian Used,152653
150,Lexus IS 2009 White,"3,045,000",Nigerian Used,191619
151,Lexus IS 250 2008 Black,"4,472,000",Foreign Used,227424
152,Lexus GX 2004 Black,"11,440,000",Foreign Used,272206
153,Lexus IS 2010,"5,834,000",138024 km,n/a
154,Lexus RX 2006 Brown,"3,744,000",Nigerian Used,144513
155,Lexus IS 2016,"7,850,000",63086 km,n/a
156,Lexus ES 2016,"11,000,000",n/a,n/a
157,Lexus CT 2011 gray,"13,450,000",32096 km,n/a
158,Lexus RX 350 2010,"9,391,200",Foreign Used,91604
159,Lexus RX 2006 330 AWD Green,"3,360,000",Nigerian Used,172079
